Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
mer. 02 mars 2022 - 18:09;Retour boulot;5,25;17m 05s;1025;18,42;31,03;29,51;27,91;21,40;;;;;;;;;;;7,20;2,76;2,08;0,44;;
mer. 02 mars 2022 - 07:32;Aller boulot;5,23;14m 55s;895;21,05;31,03;30,51;27,07;22,53;;;;;;;;;;;2,64;1,52;1,22;;;
mar. 01 mars 2022 - 18:22;Retour boulot;5,43;23m 15s;1395;14,01;32,14;29,03;25,35;14,45;;;;;;;;;;;2,56;2,20;1,54;0,54;;
mar. 01 mars 2022 - 07:31;Aller boulot;5,26;15m 44s;944;20,05;26,47;25,71;24,66;21,33;;;;;;;;;;;2,40;1,96;1,42;0,21;;
lun. 28 février 2022 - 17:50;Retour boulot;4,57;16m 43s;1003;16,39;30,00;29,51;27,69;;;;;;;;;;;;4,08;2,56;1,76;;;
lun. 28 février 2022 - 07:34;Aller boulot;5,37;17m 54s;1074;18,00;26,47;24,66;22,50;20,04;;;;;;;;;;;4,40;2,40;1,72;0,50;;
ven. 25 février 2022 - 17:43;Retour boulot;7,44;29m 14s;1754;15,27;29,03;27,69;26,47;21,38;;;;;;;;;;;8,96;4,72;2,40;0,48;;
ven. 25 février 2022 - 09:49;Aller boulot;6,58;19m 21s;1161;20,41;28,13;26,87;25,17;21,03;;;;;;;;;;;2,80;2,20;1,48;0,17;;
jeu. 24 février 2022 - 18:11;Retour boulot;5,23;14m 18s;858;21,93;33,33;31,58;30,77;23,20;;;;;;;;;;;4,96;3,32;2,70;0,24;;
jeu. 24 février 2022 - 07:31;Aller boulot;5,27;20m 51s;1251;15,16;26,47;25,71;24,32;21,58;;;;;;;;;;;3,44;2,20;1,64;0,06;;
mer. 23 février 2022 - 13:08;Retour boulot;4,75;13m 40s;820;20,84;36,00;34,62;32,43;;;;;;;;;;;;6,16;4,28;3,10;;;
mer. 23 février 2022 - 07:30;Aller boulot;5,29;14m 53s;893;21,31;29,03;27,27;25,17;22,67;;;;;;;;;;;3,12;1,72;1,06;;;
mar. 22 février 2022 - 18:07;Retour boulot;5,19;13m 58s;838;22,29;36,00;33,96;32,73;23,65;;;;;;;;;;;3,68;2,76;2,34;0,12;;
mar. 22 février 2022 - 07:31;Aller boulot;5,26;16m 33s;993;19,07;25,71;24,32;22,50;20,32;;;;;;;;;;;2,64;2,12;1,64;0,34;;
lun. 21 février 2022 - 18:03;Retour boulot;6,54;01h 13m 54s;4434;5,31;42,86;34,62;25,71;15,79;;;;;11,07;6,29;;;;;4,40;3,16;2,48;0,64;;
lun. 21 février 2022 - 07:32;Vélo du matin;4,96;17m 46s;1066;16,75;26,47;25,71;22,93;;;;;;;;;;;;2,72;2,00;1,36;;;
ven. 18 février 2022 - 17:49;Retour boulot;5,40;13m 43s;823;23,64;32,14;31,58;30,77;25,21;;;;;;;;;;;5,12;3,68;2,70;0,72;;
ven. 18 février 2022 - 08:12;Aller boulot;5,21;18m 47s;1127;16,63;27,27;24,66;22,09;17,65;;;;;;;;;;;3,76;2,68;1,10;0,09;;
mer. 16 février 2022 - 16:08;Retour boulot;5,25;14m 42s;882;21,43;32,14;30,51;29,27;22,96;;;;;;;;;;;3,04;2,24;1,66;0,24;;
mer. 16 février 2022 - 08:07;Aller boulot;5,26;15m 25s;925;20,48;29,03;28,13;26,67;21,51;;;;;;;;;;;4,32;3,16;1,28;0,19;;
mar. 15 février 2022 - 17:41;Retour boulot;5,29;15m 55s;955;19,95;32,14;30,51;29,03;21,92;;;;;;;;;;;4,08;2,68;2,10;;;
mar. 15 février 2022 - 12:16;Sortie à vélo le midi;9,86;01h 39m 34s;5974;5,94;34,62;31,03;25,90;3,82;;;;;9,85;4,93;;;;;4,80;3,60;2,82;1,01;;
mar. 15 février 2022 - 07:54;Aller boulot;5,27;15m 09s;909;20,86;33,33;31,58;30,00;23,35;;;;;;;;;;;2,64;2,20;1,74;0,08;;
lun. 14 février 2022 - 18:20;Retour boulot;5,26;16m 31s;991;19,12;32,14;31,03;30,00;23,05;;;;;;;;;;;3,28;2,60;2,30;0,63;;
lun. 14 février 2022 - 07:59;Aller boulot;4,86;16m 03s;963;18,16;28,13;25,71;24,49;;;;;;;;;;;;2,96;1,60;1,20;;;
jeu. 10 février 2022 - 18:02;Retour boulot;3,01;09m 23s;563;19,24;25,71;25,00;24,49;;;;;;;;;;;;3,20;3,00;2,50;;;
jeu. 10 février 2022 - 07:30;Aller boulot;5,25;16m 31s;991;19,05;27,27;26,09;23,84;20,39;;;;;;;;;;;2,80;1,84;1,12;;;
mer. 09 février 2022 - 17:57;Retour boulot;5,42;25m 41s;1541;12,67;27,27;23,68;20,93;12,99;;;;;;;;;;;3,12;2,56;1,62;0,63;;
mer. 09 février 2022 - 07:31;Aller boulot;5,28;17m 59s;1079;17,60;25,00;23,68;22,50;20,59;;;;;;;;;;;2,56;2,04;1,60;;;
mar. 08 février 2022 - 17:52;Retour boulot;5,29;16m 20s;980;19,45;29,03;26,87;25,71;21,10;;;;;;;;;;;3,36;2,84;2,34;0,63;;
mar. 08 février 2022 - 07:31;Aller boulot;5,30;17m 58s;1078;17,70;26,47;25,00;23,23;20,81;;;;;;;;;;;2,80;1,68;1,18;;;
lun. 07 février 2022 - 18:07;Retour boulot;5,34;19m 45s;1185;16,22;33,33;31,58;27,48;17,49;;;;;;;;;;;3,28;2,20;1,62;0,51;;
lun. 07 février 2022 - 08:04;Aller boulot;5,29;14m 47s;887;21,45;34,62;33,33;29,75;22,96;;;;;;;;;;;2,64;1,92;1,54;0,03;;
ven. 04 février 2022 - 17:35;Retour boulot;5,39;15m 49s;949;20,43;34,62;32,14;30,25;21,90;;;;;;;;;;;3,84;2,44;1,90;0,28;;
ven. 04 février 2022 - 09:43;Aller boulot;6,44;20m 12s;1212;19,12;26,47;24,66;22,50;20,32;;;;;;;;;;;3,92;2,44;1,98;0,27;;
jeu. 03 février 2022 - 17:56;Retour boulot;5,62;19m 40s;1180;17,14;33,33;31,58;31,03;17,54;;;;;;;;;;;3,04;2,20;1,60;0,40;;
jeu. 03 février 2022 - 07:31;Aller boulot;5,32;17m 12s;1032;18,55;28,13;26,09;24,16;19,65;;;;;;;;;;;3,92;3,60;3,14;0,88;;
mer. 02 février 2022 - 18:38;Retour boulot;5,28;14m 38s;878;21,66;39,13;36,73;31,86;23,17;;;;;;;;;;;3,20;2,36;2,20;0,36;;
mer. 02 février 2022 - 07:33;Aller boulot;5,25;15m 49s;949;19,91;30,00;26,87;24,49;21,33;;;;;;;;;;;3,04;2,36;1,34;0,21;;
mar. 01 février 2022 - 18:22;Retour boulot;5,29;14m 46s;886;21,49;31,03;31,03;29,27;22,81;;;;;;;;;;;3,04;2,52;2,20;0,44;;
mar. 01 février 2022 - 07:32;Aller boulot;5,25;15m 54s;954;19,81;25,71;24,66;23,53;20,93;;;;;;;;;;;2,96;1,92;1,20;;;
lun. 31 janvier 2022 - 17:47;Retour boulot;5,46;19m 33s;1173;16,75;28,13;26,09;25,90;18,33;;;;;;;;;;;3,76;2,60;2,00;0,52;;
lun. 31 janvier 2022 - 11:57;Sortie à vélo le midi;2,82;11m 43s;703;14,47;34,62;31,58;22,93;;;;;;;;;;;;2,96;2,76;2,06;;;
