Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
sam. 11 juin 2022 - 14:02;Aller retour Décathlon;12,36;58m 51s;3531;12,60;34,62;32,14;28,13;22,90;11,90;;;;9,64;;;;;;4,96;3,20;2,68;0,64;0,10;
ven. 10 juin 2022 - 18:11;Retour boulot;5,25;15m 16s;916;20,65;31,03;29,51;29,03;22,25;;;;;;;;;;;4,40;2,08;1,56;0,52;;
ven. 10 juin 2022 - 07:40;Aller boulot;5,28;14m 13s;853;22,26;28,13;26,47;26,09;23,23;;;;;;;;;;;2,72;1,52;0,98;;;
jeu. 09 juin 2022 - 17:55;Retour boulot;5,25;13m 08s;788;24,00;37,50;36,00;34,95;26,09;;;;;;;;;;;4,56;2,04;1,46;0,31;;
jeu. 09 juin 2022 - 08:07;Aller boulot;5,25;16m 56s;1016;18,59;26,47;25,71;22,64;20,18;;;;;;;;;;;5,92;3,36;1,72;0,51;;
mer. 08 juin 2022 - 17:57;Retour boulot;5,39;23m 39s;1419;13,68;23,08;21,69;20,69;16,06;;;;;;;;;;;4,64;2,80;1,54;0,39;;
mer. 08 juin 2022 - 07:48;Aller boulot;5,23;15m 12s;912;20,65;30,00;28,13;27,69;21,69;;;;;;;;;;;2,72;1,80;1,26;0,13;;
mar. 07 juin 2022 - 18:01;Retour boulot;5,24;13m 06s;786;24,01;33,33;31,58;31,03;25,60;;;;;;;;;;;3,84;2,68;1,78;0,32;;
mar. 07 juin 2022 - 07:53;Aller boulot;5,25;15m 51s;951;19,88;30,00;27,69;26,28;20,76;;;;;;;;;;;3,12;1,80;1,38;0,09;;
lun. 06 juin 2022 - 09:11;VTT avec Clément;46,03;03h 05m 53s;11153;14,86;47,37;40,91;33,03;24,39;19,39;17,78;;;19,42;17,55;16,80;14,71;;;10,00;7,96;4,17;0,79;0,43;0,27
sam. 04 juin 2022 - 11:33;Aller retour Décathlon;12,37;01h 00m 41s;3641;12,23;37,50;33,96;30,25;25,60;11,32;;;;8,60;12,27;;;;;6,88;4,52;2,84;0,67;0,02;
ven. 03 juin 2022 - 18:15;Retour boulot;5,27;16m 29s;989;19,19;27,27;25,00;23,53;20,88;;;;;;;;;;;6,88;4,16;2,56;0,12;;
ven. 03 juin 2022 - 07:37;Aller boulot;5,25;15m 20s;920;20,54;28,13;26,47;26,28;21,58;;;;;;;;;;;2,88;1,60;1,00;;;
jeu. 02 juin 2022 - 18:23;Retour boulot;5,25;15m 04s;904;20,92;37,50;33,96;30,25;21,84;;;;;;;;;;;3,44;1,80;1,12;0,26;;
jeu. 02 juin 2022 - 13:54;Sortie vélo dans l'après-midi;4,64;16m 47s;1007;16,60;33,33;31,58;24,49;;;;;;;;;;;;9,04;4,24;2,30;;;
jeu. 02 juin 2022 - 12:02;Sortie vélo le midi;4,84;13m 31s;811;21,47;39,13;34,62;30,77;;;;;;;;;;;;3,12;2,64;1,34;;;
jeu. 02 juin 2022 - 07:44;Aller boulot;5,29;21m 20s;1280;14,89;29,03;28,57;25,35;21,53;;;;;;;;;;;3,12;2,08;1,80;0,46;;
mer. 01 juin 2022 - 18:06;Retour boulot;5,33;20m 04s;1204;15,92;27,27;23,38;20,69;17,46;;;;;;;;;;;4,72;3,08;1,44;0,53;;
mer. 01 juin 2022 - 12:28;Sortie vélo le midi;7,02;01h 20m 30s;4830;5,24;37,50;36,00;34,29;4,13;;;;;3,09;3,09;;;;;6,40;5,24;3,78;;;
mer. 01 juin 2022 - 07:52;Aller boulot;5,23;14m 35s;875;21,52;28,13;26,87;25,53;22,44;;;;;;;;;;;2,48;1,48;1,12;;;
mar. 31 mai 2022 - 18:12;Retour boulot;5,39;22m 40s;1360;14,28;28,13;24,66;22,22;14,86;;;;;;;;;;;12,64;6,44;5,42;0,50;;
